## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[sorted.rg.bam] OUTPUT=dedup.bam METRICS_FILE=metrics.txt VALIDATION_STRINGENCY=LENIENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 14 14:21:01 IST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	12594	31247154	287484	1050682	7699	11951207	0	0.38252	29585167

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	12526161	12526161
2.0	1.347783	3985317	3985317
3.0	1.468736	1543493	1543493
4.0	1.510802	662805	662805
5.0	1.525431	298598	298598
6.0	1.530519	140160	140160
7.0	1.532289	68306	68306
8.0	1.532904	33244	33244
9.0	1.533118	17165	17165
10.0	1.533192	9116	9116
11.0	1.533218	4940	4940
12.0	1.533227	2756	2756
13.0	1.533231	1552	1552
14.0	1.533232	893	893
15.0	1.533232	524	524
16.0	1.533232	320	320
17.0	1.533232	200	200
18.0	1.533232	128	128
19.0	1.533232	75	75
20.0	1.533232	52	52
21.0	1.533232	39	39
22.0	1.533232	24	24
23.0	1.533232	23	23
24.0	1.533232	11	11
25.0	1.533232	12	12
26.0	1.533232	1	1
27.0	1.533232	4	4
28.0	1.533232	2	2
29.0	1.533232	1	1
30.0	1.533232	4	4
31.0	1.533232	1	1
32.0	1.533232	0	0
33.0	1.533232	2	2
34.0	1.533232	2	2
35.0	1.533232	1	1
36.0	1.533232	1	1
37.0	1.533232	2	2
38.0	1.533232	1	1
39.0	1.533232	0	0
40.0	1.533232	0	0
41.0	1.533232	0	0
42.0	1.533232	2	2
43.0	1.533232	0	0
44.0	1.533232	0	0
45.0	1.533232	0	0
46.0	1.533232	1	1
47.0	1.533232	0	0
48.0	1.533232	2	2
49.0	1.533232	0	0
50.0	1.533232	0	0
51.0	1.533232	1	1
52.0	1.533232	1	1
53.0	1.533232	0	0
54.0	1.533232	0	0
55.0	1.533232	1	1
56.0	1.533232	0	0
57.0	1.533232	1	1
58.0	1.533232	0	0
59.0	1.533232	0	0
60.0	1.533232	0	0
61.0	1.533232	0	0
62.0	1.533232	0	0
63.0	1.533232	0	0
64.0	1.533232	0	0
65.0	1.533232	0	0
66.0	1.533232	0	0
67.0	1.533232	0	0
68.0	1.533232	0	0
69.0	1.533232	0	0
70.0	1.533232	0	0
71.0	1.533232	0	0
72.0	1.533232	0	0
73.0	1.533232	1	1
74.0	1.533232	0	0
75.0	1.533232	0	0
76.0	1.533232	0	0
77.0	1.533232	0	0
78.0	1.533232	0	0
79.0	1.533232	0	0
80.0	1.533232	0	0
81.0	1.533232	0	0
82.0	1.533232	0	0
83.0	1.533232	0	0
84.0	1.533232	0	0
85.0	1.533232	0	0
86.0	1.533232	0	0
87.0	1.533232	0	0
88.0	1.533232	0	0
89.0	1.533232	0	0
90.0	1.533232	0	0
91.0	1.533232	1	1
92.0	1.533232	0	0
93.0	1.533232	0	0
94.0	1.533232	0	0
95.0	1.533232	0	0
96.0	1.533232	0	0
97.0	1.533232	0	0
98.0	1.533232	0	0
99.0	1.533232	0	0
100.0	1.533232	0	0

